Año;Ramas de actividad;Tamaño de la empresa;Tipo de indicador;Total
2014;TOTAL SERVICIOS;Menos de 250 empleados;Gastos totales (miles de euros);2420824
2014;TOTAL SERVICIOS;250 y más empleados;Gastos totales (miles de euros);3995372
2014;TOTAL SERVICIOS;Total;Gastos totales (miles de euros);6416196
2014;TOTAL SERVICIOS;Menos de 250 empleados;I+D interna;69.21
2014;TOTAL SERVICIOS;250 y más empleados;I+D interna;34.94
2014;TOTAL SERVICIOS;Total;I+D interna;47.87
2014;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);11.1
2014;TOTAL SERVICIOS;250 y más empleados;Adquisición de  I+D (I+D externa);16.31
2014;TOTAL SERVICIOS;Total;Adquisición de  I+D (I+D externa);14.35
2014;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;11.34
2014;TOTAL SERVICIOS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;25.72
2014;TOTAL SERVICIOS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.29
2014;TOTAL SERVICIOS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.37
2014;TOTAL SERVICIOS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;10.7
2014;TOTAL SERVICIOS;Total;Adquisición de otros conocimientos externos para innovación;7.18
2014;TOTAL SERVICIOS;Menos de 250 empleados;Formación para actividades de innovación;0.9
2014;TOTAL SERVICIOS;250 y más empleados;Formación para actividades de innovación;0.88
2014;TOTAL SERVICIOS;Total;Formación para actividades de innovación;0.89
2014;TOTAL SERVICIOS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.15
2014;TOTAL SERVICIOS;250 y más empleados;Introducción de innovaciones en el mercado;3.3
2014;TOTAL SERVICIOS;Total;Introducción de innovaciones en el mercado;3.25
2014;TOTAL SERVICIOS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.93
2014;TOTAL SERVICIOS;250 y más empleados;Diseño, otros preparativos para producción y/o distribución;8.15
2014;TOTAL SERVICIOS;Total;Diseño, otros preparativos para producción y/o distribución;6.18
2013;TOTAL EMPRESAS;Menos de 250 empleados;Gastos totales (miles de euros);4532911
2013;TOTAL EMPRESAS;250 y más empleados;Gastos totales (miles de euros);8700380
2013;TOTAL EMPRESAS;Total;Gastos totales (miles de euros);13233291
2013;TOTAL EMPRESAS;Menos de 250 empleados;I+D interna;63.5
2013;TOTAL EMPRESAS;250 y más empleados;I+D interna;42.45
2013;TOTAL EMPRESAS;Total;I+D interna;49.66
2013;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de  I+D (I+D externa);12.76
2013;TOTAL EMPRESAS;250 y más empleados;Adquisición de  I+D (I+D externa);19.39
2013;TOTAL EMPRESAS;Total;Adquisición de  I+D (I+D externa);17.12
2013;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;15.72
2013;TOTAL EMPRESAS;250 y más empleados;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;22.48
2013;TOTAL EMPRESAS;Total;Adquisición de maquinaria, equipos y hardware o software avanzados y edificios;20.16
2013;TOTAL EMPRESAS;Menos de 250 empleados;Adquisición de otros conocimientos externos para innovación;1.14
2013;TOTAL EMPRESAS;250 y más empleados;Adquisición de otros conocimientos externos para innovación;7.2
2013;TOTAL EMPRESAS;Total;Adquisición de otros conocimientos externos para innovación;5.12
2013;TOTAL EMPRESAS;Menos de 250 empleados;Formación para actividades de innovación;0.9
2013;TOTAL EMPRESAS;250 y más empleados;Formación para actividades de innovación;0.68
2013;TOTAL EMPRESAS;Total;Formación para actividades de innovación;0.76
2013;TOTAL EMPRESAS;Menos de 250 empleados;Introducción de innovaciones en el mercado;3.01
2013;TOTAL EMPRESAS;250 y más empleados;Introducción de innovaciones en el mercado;3.23
2013;TOTAL EMPRESAS;Total;Introducción de innovaciones en el mercado;3.16
2013;TOTAL EMPRESAS;Menos de 250 empleados;Diseño, otros preparativos para producción y/o distribución;2.97
